DNS	﻿A.D.N.
Korinth	Corinthe
Bundesgrenzschutz	Corps fédéral de protection des frontières
Cortes	Cortès
Südkorea	Corée du Sud
Costa Rica	Costa Rica
Bundesverwaltungsgericht	Cour administrative fédérale
Europäischer Gerichtshof	Cour de justice des Communautés européennes
Krakau	Cracovie
Credo	Credo
Gekreuzigte	Crucifié
Schöpfer	Créateur
Krösus	Crésus
Kuba	Cuba
Cupido	Cupidon
Eros	Cupidon
Curaçao	Curaçao
Cyrus	Cyrus
Kyros	Cyrus
Kythera	Cythère
Cäcilie	Cécile
Cäsar	César
Como	Côme
Elfenbeinküste	Côte-d'Ivoire
Flak	D.C.A.
Fliegerabwehr	D.C.A.
Flugabwehr	D.C.A.
überseeisches Departement	D.O.M.
überseeische Departements und Gebiete	D.O.M.-T.O.M.
Geheimdienst	D.S.T.
Spionageabwehrdienst	D.S.T.
SZR	D.T.S.
Sonderziehungsrechte	D.T.S.
Abschlußdiplom einer Fachhochschule	D.U.T.
Fachhochschulreife	D.U.T.
CD-ROM disk	DOC
Dakka	Dacca
Dagestan	Daghestan
Dakar	Dakar
Damaskus	Damas
Dänemark	Danemark
Daniel	Daniel
Daniela	Danielle
Daniela	Danièle
Donau	Danube
Danzig	Danzig
Daressalam	Dar es-Salaam
Dardanellen	Dardanelles
Daugava	Daugava
Delhi	Delhi
Dionysius	Denis
Teufel	Diable
Gott	Dieu
Schöpfer	Dieu
Djibouti	Djibouti
Dschibuti	Djibouti
Dnepr	Dniepr
Dnestr	Dniestr
Dominica	Dominique
Dominik	Dominique
Don Juan	Don Juan
Casanova	Don Juan
Charmeur	Don Juan
Donna	Donna
Duschanbe	Douchanbe
Dover	Douvres
Dresden	Dresde
Abrichter	Dresseur
Dublin	Dublin
Dünkirchen	Dunkerque
computerunterstützter Unterricht	E.A.O.
ECU	ECU
Ecu	ECU
Edmund	Edmond
Hedwig	Edwige
Elbe	Elbe
Elbrus	Elbrous
Elbrus	Elbrouz
Elista	Elista
Ermitage	Ermitage
Ernst	Ernest
Äschylus	Eschyle
Äskulap	Esculape
Spanien	Espagne
Stella	Estelle
Esther	Esther
Estland	Estonie
Standesamt	Etat civil
Wohlfahrtsstaat	Etat providence
Versorgungsstaat	Etat-providence
Wohlfahrtsstaat	Etat-providence
Firma	Ets
Werk	Ets
Werke	Ets
Eugen	Eugène
Eugenie	Eugénie
Europa	Europe
Westeuropa	Europe de l'Ouest
Westeuropa	Europe occidentale
Westeuropäer	Européen de l'Ouest
Westeuropäerin	Européenne de l'Ouest
Eurydike	Eurydice
Eustachius	Eustache
Exzellenz	Excellence
Ferner Osten	Extrême-Orient
Fernost	Extrême-Orient
Nationale Befreiungsfront	F.L.N.
FM	F.M.
Frequenzmodulation	F.M.
UKW	F.M.
Ultrakurzwelle	F.M.
IWF	F.M.I.
Internationaler Währungsfonds	F.M.I.
Französischer Bauernverband	F.N.S.E.A.
belgische Franc	FB
belgische Francs	FB
Nationaler Erzieherverband	FEN
französische Francs	FF
französischer Franc	FF
Islamische Heilsfront	FIS
Luxemburger Franc	FL
Schweizer Franken	FS
WGB	FSM
Fahrenheit	Fahrenheit
Wildwest	Far West
Ferdinand	Fernand
Weltjugendfestspiele	Festival Mondial de Jeunesse
Fidschi	Fidji
Finnland	Finlande
Florenz	Florence
Formosa	Formose
Schwarzwald	Forêt-Noire
Frankreich	France
Frankfurt	Francfort
Frankfurt am Main	Francfort
Frankfurt	Francfort-sur-le-Main
Frankfurt am Main	Francfort-sur-le-Main
Freigrafschaft Burgund	Franche-Comté
Franz	François
Franziska	Françoise
Freiburg	Fribourg
Friedrich	Frédéric
Weltgewerkschaftsbund	Fédération Syndicale Mondiale
Laubhüttenfest	Fête des Tabernacles
Fronleichnam	Fête-Dieu
Fronleichnamsfest	Fête-Dieu
Allgemeines Zoll- und Handelsabkommen	GATT
GATT	GATT
Gabun	Gabon
Gabriel	Gabriel
Gabriele	Gabrielle
Galilei	Galilée
Gent	Gand
Ganges	Gange
Gaskogne	Gascogne
Danzig	Gdansk
Genoveva	Geneviève
Schöpfungsgeschichte	Genèse
Genf	Genève
Georg	Georges
Gibraltar	Gibraltar
Ägidius	Gilles
Gisela	Gisèle
Persischer Golf	Golfe Persique
Grenada	Grenade
antike Griechenland	Grèce antique
Gregor	Grégoire
Guido	Gui
Veit	Gui
Wilhelm	Guillaume
Golfstrom	Gulf Stream
Georgia	Géorgie
Georgien	Géorgie
Gerhard	Gérard
Genua	Gênes
Habsburger	Habsbourg
Hamburg	Hambourg
Hanoi	Hanoi
Hannover	Hanovre
Hawaii	Hawaï
Haiti	Haïti
Heinrich	Henri
Herakles	Hercule
Herkules	Hercule
Hippokrates	Hippocrate
Homer	Homère
Ungarn	Hongrie
Hugo	Hugues
Französisches Meinungsforschungsinstitut	I.F.O.P.
FH	I.U.T.
Fachhochschule	I.U.T.
Schwangerschaftsabbruch	I.V.G.
Schwangerschaftsunterbrechung	I.V.G.
Ignatius	Ignace
Ignaz	Ignace
Innozenz	Innocent
Inquisition	Inquisition
Italien	Italie
Jena	Iéna
Christus	J.-C.
Gesetzblatt	J.O.
Olympische Spiele	J.O.
Jakob	Jacques
Java	Java
Hans	Jean
Johann	Jean
Johannes	Jean
Johanna	Jeanne
Jersey	Jersey
Hiob	Job
Job	Job
Josef	Joseph
Joseph	Joseph
Weltjugendtag	Jour International de la Jeunesse
Weltfriedenstag	Jour mondial pour la paix
Gesetzblatt	Journal officiel
Weltjugendtag	Journée Internationale de la Jeunesse
Judas	Judas
Verräter	Judas
Weltgericht	Jugement dernier
Weltgericht	Jugement universel
Jude	Juif
Judentum	Juif
Julius	Jules
Julia	Julie
Jülich	Juliers
Jupiter	Jupiter
der Jupiter	Jupiter
Jura	Jura
Jerusalem	Jérusalem
Jeremia	Jérémie
Jeremias	Jérémie
Hieronymus	Jérôme
Jesus	Jésus
Jesus Christus	Jésus-Christ
K. o.	K.-O.
Kassette	K7
Chabarowsk	Khabarovsk
Charkow	Kharkov
Fachoberschule	LEP
LSD	LSD
La Coruña	La Corogne
Havanna	La Havane
Den Haag	La Haye
der Ärmelkanal	La Manche
die Mancha	La Manche
Mekka	La Mecque
Laotse	Lao-Tseu
Lorenz	Laurent
Lazarus	Lazare
Kairo	Le Caire
Kapstadt	Le Cap
der Piräus	Le Pirée
Leiden	Leyde
Lissabon	Lisbonne
Liese	Lise
Livorno	Livourne
Lüttich	Liège
London	Londres
Lothar	Lothaire
Ludwig	Louis
Luise	Louise
Löwen	Louvain
Lukas	Luc
Luzern	Lucerne
Luzifer	Lucifer
Lutetia	Lutèce
Fremdenlegion	Légion
Fremdenlegion	Légion étrangère
Leo	Léon
Leonhard	Léonard
Frauenbewegung	M.L.F.
Geschlechtskrankheit	M.S.T.
Terminmarkt	MATIF
FM	MF
Frequenzmodulation	MF
Machiavelli	Machiavel
Dingsbums	Machin
Dingsda	Machin
Dingsbums	Machine
Dingsda	Machine
Madagaskar	Madagascar
Frau	Madame
Sehr geehrte Frau	Madame
Magdalena	Madeleine
Magdalene	Madeleine
Fräulein	Mademoiselle
Madrid	Madrid
Madeira	Madère
Madera	Madère
Mohammed	Mahomet
Weiße Haus	Maison-Blanche
Majestät	Majesté
Mallorca	Majorque
Machatschkala	Makhatchkala
Malawi	Malawi
Malaysia	Malaysia
Malediven	Maldives
Mali	Mali
Teufel	Malin
Mecheln	Malines
Malta	Malte
Managua	Managua
Manama	Manama
Mancha	Manche
Ärmelkanal	Manche
Manchester	Manchester
Manila	Manille
Mantua	Mantoue
Markus	Marc
Fastnachtsdienstag	Mardi gras
Margot	Margot
Margarete	Marguerite
Marianne	Marianne
Maria	Marie
Marie	Marie
Mario	Marius
Marokko	Maroc
Mars	Mars
der Mars	Mars
Marseille	Marseille
Martha	Marthe
Langohr	Martin
Martin	Martin
Petz	Martin
Martina	Martine
Zentralmassiv	Massif central
Matthias	Mathias
Mathilde	Mathilde
Matthäus	Matthieu
Moritz	Maurice
Mainz	Mayence
Melchior	Melchior
Merkur	Mercure
der Merkur	Mercure
Metz	Metz
Maas	Meuse
Mexico City	Mexico
Mexiko	Mexique
Michael	Michel
Michelangelo	Michel-Ange
Michaela	Michèle
Mickymaus	Mickey
Südfrankreich	Midi
Mailand	Milan
Verteidigungsminister	Ministre de la Défense
Menorca	Minorque
Fräulein	Mlle
Frau	Mme
Megabyte	Mo
Mohammed	Mohammed
Moldau	Moldavie
Moldawien	Moldavie
Monaco	Monaco
Monako	Monaco
Monika	Monique
Sehr geehrter Herr	Monsieur
Monte Carlo	Monte-Carlo
Montreal	Montréal
Morpheus	Morphée
Moskau	Moscou
Mosel	Moselle
Mittelalter	Moyen-Âge
Mozart	Mozart
Mose	Moïse
Moses	Moïse
München	Munich
Mykene	Mycènes
Medici	Médicis
Medea	Médée
Unsere Liebe Frau	N.-D.
Nebukadnezar	Nabuchodonosor
Neapel	Naples
Napoleon	Napoléon
Natalie	Nathalie
Vereinte Nationen	Nations Unies
Neptun	Neptune
der Neptun	Neptune
New York	New-York
Nikolaus	Nicolas
Niger	Niger
Schwarze	Noire
Vaterunser	Notre Père
Marienkirche	Notre-Dame
Unsere Liebe Frau	Notre-Dame
New Orleans	Nouvelle-Orléans
Noah	Noé
Weihnachten	Noël
Weihnachtsfest	Noël
Weinachten	Noël
Nürnberg	Nuremberg
Nofretete	Néfertiti
Nero	Néron
Newa	Néva
OECD	O.C.D.E.
Ozean	O.C.D.E.
Weltmeer	O.C.D.E.
O. K.	O.K.
okay	O.K.
PLO	O.L.P.
WHO	O.M.S.
Weltgesundheitsorganisation	O.M.S.
UNO	O.N.U.
AktienÜbernahmeangebot	O.P.A.
Übernahmeangebot	O.P.A.
angelernte Arbeiterin	O.S.
angelernter Arbeiter	O.S.
NATO	O.T.A.N.
OAU	O.U.A.
OPEC	OPEP
UFO	OVNI
fliegende Untertasse	OVNI
Bundespresseamt	Office de presse du gouvernement fédéral
Bundespresseamt	Office de presse fédéral
Oliver	Olivier
Orange	Orange
Oranien	Orange
OECD	Organisation de coopération et de développement économique
Organisation für wirtschaftliche Zusammenarbeit und Entwicklung	Organisation de coopération et de développement économique
Weltgesundheitsorganisation	Organisation mondiale de la santé
Orpheus	Orphée
Ostgoten	Ostrogot
Wagadugu	Ouagadougou
Westen	Ouest
Ufa	Oufa
Uganda	Ouganda
Ulan-Bator	Oulan-Bator
Ulan-Ude	Oulan-Oude
Uljanowsk	Oulianovsk
Ural	Oural
Uralfluß	Oural
Uralgebirge	Oural
Usbekistan	Ouzbékistan
Generaldirektor	P.-D.G.
Nachschrift	P.-S.
Postskriptum	P.-S.
Knöllchen	P.-V.
Strafzettel	P.-V.
Desktop publishing	P.A.O.
Befehlsstelle	P.C.
KP	P.C.
PC	P.C.
Chef	P.D.G.
Generaldirektor	P.D.G.
Vorstandsvorsitzende	P.D.G.
Vorstandsvorsitzender	P.D.G.
Bruttoinlandsprodukt	P.I.B.
MP	P.M.
Maschinenpistole	P.M.
vormilitärische Ausbildung	P.M.
Klein- und Mittelbetriebe	P.M.E.
industrielle Klein- und Mittelbetriebe	P.M.I.
Pferdetoto	P.M.U.
Wettanbüro	P.M.U.
Wettannahme	P.M.U.
Wettbüro	P.M.U.
BSP	P.N.B.
Bruttosozialprodukt	P.N.B.
Flächennutzungsplan	P.O.S.
Republikanische Partei	P.R.
Sozialistische Partei	P.S.
Post- und Fernmeldewesen	P.T.T.
PVC	P.V.C.
PC	PC
MW	PO
Mittelwellen	PO
Pazifik	Pacifique
Stiller Ozean	Pacifique
Padua	Padoue
Pakistan	Pakistan
Palermo	Palerme
Palestina	Palestine
Palästina	Palestine
Pamir	Pamir
Pamplona	Pampelune
Paris	Panam
Panama	Panama
Papua-Neuguinea	Papouasie-Nouvelle-Guinée
Paraguay	Paraguay
Paris	Paris
Parlament	Parlement
Volksvertretung	Parlement
EuropaParlament	Parlement européen
Bundeshaus	Parlement fédéral
Parma	Parme
Parnassiens	Parnasse
Parnaß	Parnasse
Sozialistische Partei	Parti socialiste
Paternoster	Pater
Vaterunser	Pater
Paul	Paul
Paulus	Paul
Paula	Paule
Pentagon	Pentagone
Parzival	Perceval
Pergamon	Pergame
Persien	Perse
Perseus	Persée
Philipp	Philippe
Phnom Penh	Phnom Penh
Phädra	Phèdre
Pius	Pie
Peter	Pierre
Petrus	Pierre
Petra	Pierrette
Piräus	Pirée
Pisa	Pise
Platz	Pl.
Plato	Platon
Platon	Platon
Plutarch	Plutarque
Pluto	Pluton
der Pluto	Pluton
Fische	Poissons
Pompeji	Pompéi
Pontius Pilatus	Ponce Pilate
Puerto Rico	Porto Rico
Prag	Prague
BSP	Produit national brut
Prometheus	Prométhée
Pyrrhus	Pyrrhus
Pythagoras	Pythagore
Passahfest	Pâque
Osterfest	Pâques
Ostern	Pâques
Weihnachtsmann	Père Noël
Pegasus	Pégase
Peking	Pékin
Pippin	Pépin
Peru	Pérou
Perugia	Pérouse
Petrarca	Pétrarque
Stabsquartier	Q.G.
Intelligenzquotient	Q.I.
Quebec	Québec
Pariser Verkehrsbetriebe	R.A.T.P.
DDR	R.D.A.
Deutsche Demokratische Republik	R.D.A.
S-Bahn	R.E.R.
Schnellbahn	R.E.R.
Stadtbahn	R.E.R.
Französische Republik	R.F.
BRD	R.F.A.
Bundesrepublik Deutschland	R.F.A.
Bundesstraße	R.N.
Neogaullisten	R.P.R.
um Antwort wird gebeten	R.S.V.P.
RTL	R.T.L.
SRAM	RAM statique
statisches RAM	RAM statique
Rafael	Raphaël
Raffael	Raphaël
Raphael	Raphaël
Regensburg	Ratisbonne
Ravenna	Ravenne
Raimund	Raymond
Reims	Reims
Anm.	Rem.
Anm. Anmerkung	Rem.
Bemerkung	Rem.
Rembrandt	Rembrandt
Remigius	Remi
Renate	Renée
Rhodos	Rhodes
Rhone	Rhône
die Rhone	Rhône
Er-Riad	Riad
Richard	Richard
Er-Riad	Riyad
Robert	Robert
Robin Hood	Robin des Bois
Robinson Crusoe	Robinson Crusoé
Rochus	Roch
Sonnenkönig	Roi-Soleil
Roland	Roland
Roman	Romain
Rom	Rome
Rosa	Rose
Rose	Rose
Vereinigtes Königreich	Royaume-Uni
Rubens	Rubens
Erlöser	Rédempteur
Regina	Régine
Regine	Régine
Dominikanische Republik	République Dominicaine
DDR	République démocratique allemande
Deutsche Demokratische Republik	République démocratique allemande
Bundesrepublik	République fédérale
Tschechei	République tchèque
Widerstandsbewegung	Résistance
Widerstandskampf	Résistance
Hochwürden	Révérend
AG	S.A.
Aktiengesellschaft	S.A.
SA	S.A.
GEMA	S.A.C.E.M.
GmbH Gesellschaft mit beschränkter Haftung	S.A.R.L.
Obdachlose	S.D.F.
EWS	S.M.E.
Europäisches Währungssystem	S.M.E.
Französische Staatsbahn	S.N.C.F.
SOS	S.O.S.
SOS-Ruf	S.O.S.
SOseineruf	S.O.S.
Tierschutzverein	S.P.A.
Zwangsverpflichtung zum Arbeitseinsatz	S.T.O.
Zwangsverpflichtung zum Arbeitseinsatz in Deutschland	S.T.O.
bitte	S.V.P.
SA	SA
Notarzt	SAMU
Rettungsdienst	SAMU
Unfallhilfsstelle	SAMU
Unfallstation	SAMU
Heiligstes Herz Jesu	Sacré-Cœur
Herz Jesu	Sacré-Cœur
Schütze	Sagittaire
Sahara	Sahara
Saigon	Saigon
Santiago de Compostela	Saint-Jacques-de-Compostelle
San Marino	Saint-Marin
Silvester	Saint-Sylvestre
Sankt Helena	Sainte-Hélène
Sachalin	Sakhaline
Salvador	Salvador
Samara	Samara
Samarkand	Samarkand
Westsamoa	Samoa Occidentales
Santiago	Santiago
Saransk	Saransk
Saratow	Saratov
Sardinien	Sardaigne
Saar	Sarre
Saarland	Sarre
Saarbrücken	Sarrebruck
Beelzebub	Satan
Satan	Satan
Teufel	Satan
der Satan	Satan
Saturn	Saturne
der Saturn	Saturne
Saul	Saul
Erlöser	Sauveur
Savoyen	Savoie
Skandinavien	Scandinavie
Tonic	Schweppes
Tonicwasser	Schweppes
Skorpion	Scorpion
Serbien	Serbie
Serge	Serge
Bundesnachrichtendienst	Service fédéral de renseignements
Seychellen	Seychelles
Seychelle	Seychellois
Seychellin	Seychelloise
Schanghai	Shanghai
Shanghai	Shanghai
Sibirien	Sibérie
Sizilien	Sicile
Siemens	Siemens
Sierra Leone	Sierra Leone
Singapur	Singapour
Zion	Sion
Sisyphus	Sisyphe
Slowakei	Slovaquie
Slowenien	Slovénie
Sokrates	Socrate
Sofia	Sofia
Solothurn	Soleure
Somalia	Somalie
Seine Königliche Hoheit	Son Altesse Royale
Seine Eminenz	Son Éminence
Sofie	Sophie
Sophie	Sophie
Sorbonne	Sorbonne
Sudan	Soudan
Suchumi	Soukhoumi
Susdal	Souzdal
Sparta	Sparte
Speyer	Spire
Spree	Spree
Sankt	St
Stalin	Staline
Sankt	Ste
Stockholm	Stockholm
Straßburg	Strasbourg
Stuttgart	Stuttgart
Steiermark	Styrie
Firma	Sté
Gesellschaft	Sté
Südostasien	Sud-Est asiatique
Schweiz	Suisse
Surinam	Surinam
Surinam	Suriname
Susanna	Suzanne
Susanne	Suzanne
Schweden	Suède
Swasiland	Swaziland
Sydney	Sydney
Syktywkar	Syktyvkar
Silvia	Sylvie
Sylvia	Sylvie
Syrdarja	Syr-Daria
Syrien	Syrie
Sèvres	Sèvres
Sewastopol	Sébastopol
Sozialversicherung	Sécurité sociale
Sozialversicherungsanstalt	Sécurité sociale
Senat	Sénat
Senegal	Sénégal
Seoul	Séoul
Soul	Séoul
T-shirt	T-shirt
Hochgeschwindigkeitsbahn	T.G.V.
Hochgeschwindigkeitszug	T.G.V.
ICE	T.G.V.
TNT	T.N.T.
Trinitrotoluol	T.N.T.
Rundfunk	T.S.F.
drahtlose Telegraphie	T.S.F.
bitte wenden	T.S.V.P.
einschließlich aller Gebühren und Steuern	T.T.C.
Mehrwertsteuer MwSt.	T.V.A.
Tabasco	Tabasco
Tabascosoße	Tabasco
Taschkent	Tachkent
Tadshikistan	Tadjikie
Tadshikistan	Tadjikistan
Tahiti	Tahiti
Taipeh	Taibei
Taiwan	Taiwan
Tallinn	Tallin
Tallinn	Tallinn
Themse	Tamise
Tansania	Tanzanie
irgendein  Müller oder Meier	Tartempion
irgendein Herr Müller oder Meier	Tartempion
Tbilissi	Tbilissi
Tiflis	Tbilissi
Tschad	Tchad
Tschadsee	Tchad
Tscheboksary	Tcheboksary
Tschuwaschien	Tchouvachie
Tschechoslowakei	Tchécoslovaquie
Tschetschenien	Tchétchénie
Tedeum	Te Deum
Tegucigalpa	Tegucigalpa
Neufundland	Terre-Neuve
Thailand	Thaïlande
Dieter	Thierry
Dietrich	Thierry
Diedenhofen	Thionville
Diedenhofen	Thomas
Thomas	Thomas
Thüringen	Thuringe
Theben	Thèbes
Therese	Thérèse
Theresia	Thérèse
Tienschan	Tian-Chan
Tibet	Tibet
Tienschan	Tien-Chan
dritte Welt	Tiers-Monde
Till Eulenspiegel	Till l'espiègle
Tirana	Tirana
Livius	Tite-Live
Tizian	Titien
Togo	Togo
Tokio	Tokyo
Tokyo	Tokyo
Toledo	Tolède
Timbuktu	Tombouctou
Pannendienst	Touring-Club
Allmächtige	Tout-Puissant
Trient	Trente
Dreifaltigkeit	Trinité
Trinidad und Tobago	Trinité et Tobago
Tripoli	Tripoli
Tripolis	Tripoli
Troja	Troie
Trier	Trèves
Fiskus	Trésor
Schatzamt	Trésor
Finanzministerien	Trésor public
Finanzministerium	Trésor public
Fiskus	Trésor public
Schatzamt	Trésor public
Finanzministerien	Trésorerie
Finanzministerium	Trésorerie
Tunis	Tunis
Tunesien	Tunisie
Turkmenien	Turkménie
Turkmenistan	Turkménistan
Türkei	Turquie
Tirol	Tyrol
Teheran	Téhéran
Teneriffa	Ténériffe
Europäischer Fußballverband	U.E.F.A.
UEFA	U.E.F.A.
WEU	U.E.O.
Westeuropäische Union	U.E.O.
Fachbereich	U.F.R.
IFU	U.I.T.
Internationale Fernmeldeunion	U.I.T.
Ultraleichtflugzeug	U.L.M.
UDSSR	U.R.S.S.
