EFTA	﻿A.E.L.E.
deshacer	abattre
desmoralizar	abattre
desmoronar	abattre
hundir	abattre
matar	abattre
postrar	abattre
sacrificar	abattre
talar	abattre
tirar	abattre
abatido	abattu
alicaído	abattu
anonadado	abattu
caído	abattu
decaído	abattu
dejado	abattu
desanimado	abattu
deshecho	abattu
lacio	abattu
pachucho	abattu
abacial	abbatial
abadía	abbaye
abadesa	abbesse
abad	abbé
cura	abbé
padre	abbé
abadesa	abbé -esse
abecé	abc
absceso	abcès
apostema	abcès
postema	abcès
golondrino	abcès à l'aisselle
abdicación	abdication
abdicar	abdiquer
claudicar	abdiquer
desistir de	abdiquer
prescindir de	abdiquer
renunciar	abdiquer
renunciar a	abdiquer
abdomen	abdomen
vientre	abdomen
abdominal	abdominal
abdominal	abdominaux
abdominales	abdominaux
abeja	abeille
hormiguita	abeille
aberrante	aberrant
aberración	aberration
aborrecer	abhorrer
detestar	abhorrer
sentir horror hacia	abhorrer
sentir horror por	abhorrer
tener horror a	abhorrer
abyecto	abject
despreciable	abject
abyecto	abjectement
despreciable	abjectement
descuido	abjuration
falta	abjuration
negligencia	abjuration
abjurar	abjurer
ablativo	ablatif
ablación	ablation
abscisión	ablation
extirpación	ablation
abnegación	abnégation
ladrido	aboiement
abolir	abolir
abrogar	abolir
anular	abolir
cancelar	abolir
derogar	abolir
eliminar	abolir
suprimir	abolir
abolición	abolition
abrogación	abolition
derogación	abolition
supresión	abolition
abominable	abominable
horrible	abominable
exageradamente	abominablement
fatal	abominablement
abominación	abomination
aborrecimiento	abomination
asco	abomination
horror	abomination
repugnancia	abomination
aborrecer	abominer
detestar	abominer
sentir horror hacia	abominer
sentir horror por	abominer
tener horror a	abominer
abundantemente	abondamment
abundosamente	abondamment
ampliamente	abondamment
copiosamente	abondamment
en abundancia	abondamment
abundamiento	abondance
abundancia	abondance
lujo	abondance
plétora	abondance
profusión	abondance
abundante	abondant
abundoso	abondant
cerrado	abondant
copioso	abondant
frondoso	abondant
metido	abondant
abundar	abonder
existir en abundancia	abonder
rebosar	abonder
abono	abonnement
carné	abonnement
suscripción	abonnement
abonar	abonner
abonarse	abonner
suscribir	abonner
hacer mejor	abonnir
mejorar	abonnir
abonado	abonné
socio	abonné
suscriptor	abonné
abonada	abonnée
socio	abonnée
suscriptora	abonnée
accesibilidad	abord
acceso	abord
afueras	abord
aledaños	abord
alrededores	abord
cercanías	abord
contornos	abord
inmediaciones	abord
proximidades	abord
accesible	abordable
asequible	abordable
abordaje	abordage
colisión	abordage
abordar	aborder
acercarse	aborder
acercarse a	aborder
acostar	aborder
allegarse a	aborder
amarrar	aborder
apropincuarse	aborder
aproximarse	aborder
aproximarse a	aborder
atracar	aborder
avecinarse	aborder
dirigirse a	aborder
enfocar	aborder
entrar	aborder
entrar en	aborder
hacer rumbo a	aborder
ir a	aborder
plantear	aborder
poner sobre el tapete	aborder
sacar a relucir	aborder
tocar	aborder
traer a colación	aborder
traer a cuento	aborder
tratar	aborder
aborigen	aborigène
autóctono	aborigène
indígena	aborigène
nativa	aborigène
nativo	aborigène
abulia	aboulie
abúlico	aboulique
conducir	aboutir
cuajar	aboutir
desembocar	aboutir
llegar a un resultado	aboutir
parar	aboutir
salir	aboutir
desembocar en	aboutir dans
acabar en	aboutir à
conducir a	aboutir à
desembocar en	aboutir à
ir a parar en	aboutir à
llevar a	aboutir à
resultar en	aboutir à
tener por resultado	aboutir à
terminar en	aboutir à
transar	aboutir à un compromis
resultado	aboutissant
culminación	aboutissement
resultado	aboutissement
berrear	aboyer
ladrar	aboyer
estrafalario	abracadabrant
abrasivo	abrasif
abrasivo	abrasif
abrasión	abrasion
abrevar	abreuver
colmar	abreuver
abrevadero	abreuvoir
bebedero	abreuvoir
abrigo	abri
alpende	abri
amparo	abri
asilo	abri
cobertizo	abri
cobijo	abri
refugio	abri
resguardo	abri
refugio	abri souterrain
albaricoque	abricot
chabacano	abricot
albaricoque	abricotier
albaricoquero	abricotier
chabacano	abricotier
abrigar	abriter
alojar	abriter
aposentar	abriter
cobijar	abriter
guardar	abriter
guarecer	abriter
hospedar	abriter
preservar	abriter
proteger	abriter
resguardar	abriter
resguardarse	abriter
anulación	abrogation
revocación	abrogation
supresión	abrogation
abrogar	abroger
anular	abroger
derogar	abroger
revocar	abroger
abrupto	abrupt
brusco	abrupt
escarpado	abrupt
bruscamente	abruptement
ahuevado	abruti
atontado	abruti
cazurro	abruti
estúpido	abruti
soñoliento	abruti
bato	abruti
bausán	abruti
bodoque	abruti
bolo	abruti
estúpido	abruti
ganso	abruti
imbécil	abruti
tarugo	abruti
tonto	abruti
cazurra	abrutie
estúpida	abrutie
gansa	abrutie
imbécil	abrutie
abobar	abrutir
agobiar	abrutir
alelar	abrutir
alelarse	abrutir
aplatanar	abrutir
atontar	abrutir
aturdir	abrutir
embrutecer	abrutir
entontecerse	abrutir
entorpecer	abrutir
poner tonto	abrutir
agotador	abrutissant
embrutecedor	abrutissant
ensordecedor	abrutissant
agotamiento	abrutissement
embotamiento	abrutissement
abreviar	abréger
acortar	abréger
resumir	abréger
abreviado	abrégé
compendio	abrégé
extracto	abrégé
resumen	abrégé
sinopsis	abrégé
síntesis	abrégé
abrevación	abréviation
abreviatura	abréviation
sigla	abréviation
abscisa	abscisse
ausencia	absence
falta	absence
ausente	absent
ausente	absent
ausente	absente
ausentarse	absenter
absentismo	absentéisme
ábside	abside
ajenjo	absinthe
absoluto	absolu
blanco y negro	absolu
definitivo	absolu
en blanco y negro	absolu
absoluto	absolu
absolutamente	absolument
completamente	absolument
de remate	absolument
del todo	absolument
en todo caso	absolument
por supuesto	absolument
por todos los medios	absolument
sin falta	absolument
totalmente	absolument
absolución	absolution
perdón	absolution
remisión	absolution
absolutismo	absolutisme
absolutista	absolutiste
eximente	absolutoire
absorbente	absorbant
absorber	absorber
aspirar	absorber
chupar	absorber
embeber	absorber
empapar	absorber
ingerir	absorber
sorber	absorber
succionar	absorber
tragar	absorber
absorto	absorbé
abstraído	absorbé
enfrascado	absorbé
absorción	absorption
fusión	absorption
ingestión	absorption
absolver	absoudre
excusar	absoudre
perdonar	absoudre
abstenerse	abstenir
abstencionismo	abstention
abstención	abstention
abstención de voto	abstention
abstinencia	abstention
abstencionismo	abstentionnisme
abstención	abstentionnisme
abstención de voto	abstentionnisme
abstención	abstinence
abstinencia	abstinence
abstracción	abstraction
abstraer	abstraire
abstractivo	abstrait
abstracto	abstrait
abstractamente	abstraitement
abstractivamente	abstraitement
en abstracto	abstraitement
abstemio	abstème
absurdo	absurde
disparatado	absurde
insensato	absurde
absurdo	absurde
absurdamente	absurdement
disparatadamente	absurdement
insensatamente	absurdement
absurdidad	absurdité
absurdo	absurdité
bobada	absurdité
bobadas	absurdité
despropósito	absurdité
desvarío	absurdité
dislate	absurdité
disparate	absurdité
disparates	absurdité
gansada	absurdité
tontería	absurdité
tonterías	absurdité
abusión	abus
abuso	abus
desmán	abus
exceso	abus
abusar	abuser
engañar	abuser
estafar	abuser
abusar de una mujer	abuser d'une femme
abusar de	abuser de
forzar	abuser de
abusivo	abusif
abusón	abusif
desmedido	abusif
desmesurado	abusif
equivocado	abusif
errado	abusif
erróneo	abusif
excesivo	abusif
malo	abusif
desmedidamente	abusivement
desmesuradamente	abusivement
equivocadamente	abusivement
erradamente	abusivement
erróneamente	abusivement
excesivamente	abusivement
mal	abusivement
abismal	abyssal
abismo	abysse
despeñadero	abysse
precipicio	abysse
sima	abysse
abecedario	abécédaire
abobar	abêtir
entorpecer	abêtir
poner tonto	abêtir
abismo	abîme
despeñadero	abîme
precipicio	abîme
sima	abîme
averiar	abîmer
dañar	abîmer
desgraciar	abîmer
deslucir	abîmer
destrozar	abîmer
echar a perder	abîmer
estropear	abîmer
estropearse	abîmer
maltratar	abîmer
romper	abîmer
dañado	abîmé
descompuesto	abîmé
deteriorado	abîmé
estropeado	abîmé
calaña	acabit
acacia	acacia
académico	académicien
académica	académicienne
academia	académie
distrito educativo en Francia	académie
academicista	académique
académico	académique
relativo al distrito educativo en Francia	académique
universitario	académique
académicamente	académiquement
caoba	acajou
caoba	acajou
desabrido	acariâtre
gruñón	acariâtre
abochornado	accablant
abrumador	accablant
achicharrante	accablant
agobiante	accablant
contundente	accablant
pesado	accablant
abatimiento	accablement
desaliento	accablement
zangarriana	accablement
abrumar	accabler
agobiar	accabler
apesadumbrar	accabler
apoderarse	accabler
avasallar	accabler
colmar	accabler
confundir	accabler
vencer	accabler
transido	accablé
calma	accalmie
sosiego	accalmie
tranquilidad	accalmie
acaparar	accaparer
copar	accaparer
acento	accent
acento tónico	accent
acentuación	accent
deje	accent
énfasis	accent
acento	accent tonique
acento tónico	accent tonique
acentuación	accent tonique
tilde	accent écrit
acento	accentuation
acentuación	accentuation
énfasis	accentuation
acentuar	accentuer
acentuarse	accentuer
agudizar	accentuer
aumentar	accentuer
destacar	accentuer
enfatizar	accentuer
hacer hincapié en	accentuer
poner el énfasis en	accentuer
realzar	accentuer
recalcar	accentuer
esdrújulo	accentué sur l'antépénultième syllabe
aceptable	acceptable
admisible	acceptable
pasable	acceptable
aceptación	acceptation
admisión	acceptation
aprobación	acceptation
asenso	acceptation
beneplácito	acceptation
consentimiento	acceptation
aceptar	accepter
admitir	accepter
aprobar	accepter
cargar	accepter
votar	accepter
acepción	acception
sentido	acception
significado	acception
significado de una palabra	acception
abordable	accessible
accesible	accessible
alcanzable	accessible
alcanzadizo	accessible
asequible	accessible
susceptible	accessible
acceso	accession
adhesión	accession
afiliación	accession
entrada	accession
ingreso	accession
accésit	accessit
accesorio	accessoire
accidental	accessoire
adicional	accessoire
suplementario	accessoire
accesorio	accessoire
atrezo	accessoire
attrezzo	accessoire
complemento	accessoire
suplemento	accessoire
utensilio auxiliar	accessoire
accesoriamente	accessoirement
en todo caso	accessoirement
accidente	accident
anfractuosidad	accident
atropello	accident
azar	accident
desigualdad	accident
escabrosidad	accident
fragosidad	accident
percance	accident
accidente del terreno	accident de terrain
accidente	accident léger
azar	accident léger
percance	accident léger
accidental	accidentel
casual	accidentel
fortuito	accidentel
por accidente	accidentel
accidentalmente	accidentellement
casualmente	accidentellement
en un accidente	accidentellement
fortuitamente	accidentellement
por accident	accidentellement
por azar	accidentellement
por casualidad	accidentellement
por puro azar	accidentellement
accidentado	accidenté
anfractuoso	accidenté
cerril	accidenté
desigual	accidenté
escabroso	accidenté
quebrado	accidenté
accidentado	accidenté
accidentada	accidentée
aclamacion	acclamation
aclamación	acclamation
aplauso	acclamation
viva	acclamation
vítor	acclamation
aclamar	acclamer
jalear	acclamer
vitorear	acclamer
aclimatación	acclimatation
aclimatación	acclimatement
aclimatar	acclimater
acostumbrar	acclimater
relacion	accointance
abrazo	accolade
espaldarazo	accolade
llave	accolade
juntar	accoler
acomodadizo	accommodant
acomodaticio	accommodant
complaciente	accommodant
conciliador	accommodant
indulgente	accommodant
acomodamiento	accommodement
arreglo	accommodement
avenencia	accommodement
compromiso	accommodement
adecuar	accommoder
aderezar	accommoder
hacer adecuado	accommoder
hacer conveniente	accommoder
preparar	accommoder
acompañante	accompagnateur
guía	accompagnateur
acompañante	accompagnatrice
acompañamiento	accompagnement
escolta	accompagnement
guarnición	accompagnement
acompañar	accompagner
escoltar	accompagner
ir con	accompagner
acabado	accompli
cabal	accompli
consumado	accompli
cumplido	accompli
efectuado	accompli
perfecto	accompli
realizado	accompli
consumar	accomplir
cumplir	accomplir
cumplirse	accomplir
efectuar	accomplir
ejecutar	accomplir
guardar	accomplir
llevar a cabo	accomplir
observar	accomplir
realizar	accomplir
consumación	accomplissement
cumplimiento	accomplissement
ejecución	accomplissement
logro	accomplissement
realización	accomplissement
acorde	accord
acuerdo	accord
ajuste	accord
alianza	accord
aprobación	accord
arreglo	accord
compromiso	accord
comunidad	accord
concierto	accord
conclusión	accord
concordancia	accord
conformidad	accord
consenso	accord
consentimiento	accord
contrato	accord
convenio	accord
fíat	accord
pacto	accord
temple	accord
trato	accord
preacuerdo	accord de principe
compatible	accordable
conciliable	accordable
reconciliable	accordable
adjudicar	accorder
admitir	accorder
afinar	accorder
agraciar	accorder
ajustar	accorder
asignar	accorder
combinar	accorder
conceder	accorder
concordar	accorder
otorgar	accorder
reconocer	accorder
sincronizar	accorder
sintonizar	accorder
templar	accorder
conceder el derecho de ciudadanía	accorder la citoyenneté
conceder el derecho de ciudadanía a	accorder la citoyenneté
dar la ciudadanía	accorder la citoyenneté
dar la ciudadanía a	accorder la citoyenneté
becar	accorder une bourse
autorizar	accorder une concession
conceder permiso	accorder une concession
dar permiso	accorder une concession
afinador	accordeur
acordeón	accordéon
bandoneón	accordéon
acordeonista	accordéoniste
abrupto	accore
empinado	accore
escarpado	accore
amable	accorte
majo	accorte
simpático	accorte
abordar	accoster
acostar	accoster
amarrar	accoster
atracar	accoster
acotamiento	accotement
arcén	accotement
apoyacabeza	accotoir
reposacabeza	accotoir
alumbramiento	accouchement
parto	accouchement
alumbrar	accoucher
asistir al parto	accoucher
asistir en el parto	accoucher
atender el parto de	accoucher
dar a luz	accoucher
parir	accoucher
parir	accoucher de
comadrón	accoucheur
partero	accoucheur
comadrona	accoucheuse
matrona	accoucheuse
partera	accoucheuse
apoyarse	accouder
apoyabrazos	accoudoir
brazo	accoudoir
acoplamiento	accouplement
apareamiento	accouplement
acoplar	accoupler
aparear	accoupler
aparearse	accoupler
unir	accoupler
vincular	accoupler
acudir	accourir
atavío	accoutrement
aclimatación	accoutumance
adicción	accoutumance
costumbre	accoutumance
habituación	accoutumance
toxicomanía	accoutumance
vicio	accoutumance
acostumbrar	accoutumer
acostumbrado	accoutumé
habitual	accoutumé
usual	accoutumé
contratiempo	accroc
desgarrón	accroc
enganche	accroc
mancha	accroc
roto	accroc
siete	accroc
agarrada	accrochage
atropello	accrochage
choque	accrochage
colisión	accrochage
colocación	accrochage
enganche	accrochage
escaramuza	accrochage
estrellón	accrochage
refriega	accrochage
suspensión	accrochage
eslogan	accroche
caracol	accroche-cœur
agarrarse	accrocher
atropellar	accrocher
chocar	accrocher
chocar con	accrocher
chocar contra	accrocher
chocar en	accrocher
colgar	accrocher
enganchar	accrocher
enganchar a	accrocher
engancharse	accrocher
gafar	accrocher
impactar	accrocher
pelearse	accrocher
prender	accrocher
prendido	accroché
acrecencia	accroissement
acrecentamiento	accroissement
acrecimiento	accroissement
aumento	accroissement
crecimiento	accroissement
extensión	accroissement
incremento	accroissement
ponerse en cuclillas	accroupir
acrecentar	accroître
ampliar	accroître
amuchar	accroître
aumentar	accroître
incrementar	accroître
incrementarse	accroître
acreditación	accréditation
acreditar	accréditer
acreditado	accrédité
autorizado	accrédité
prestigioso	accrédité
acumulador	accu
batería	accu
acogida	accueil
bienvenida	accueil
recepción	accueil
recibimiento	accueil
saludo	accueil
acogedor	accueillant
hospitalario	accueillant
acoger	accueillir
albergar	accueillir
alojar	accueillir
recibir	accueillir
acorralar	acculer
arrinconar	acculer
coaccionar	acculer
coaccionar a	acculer
compeler	acculer
compeler a	acculer
constreñir	acculer
encajonar	acculer
forzar	acculer
forzar a	acculer
llevar	acculer
obligar	acculer
obligar a	acculer
acumulador	accumulateur
acumulador	accumulateur
acumulación	accumulation
acumular	accumuler
acumularse	accumuler
almacenar	accumuler
amontonar	accumuler
atesorar	accumuler
acusador	accusateur
acusador	accusateur
acusativo	accusatif
acriminación	accusation
acusación	accusation
acuse	accusation
denuncia	accusation
inculpación	accusation
querella	accusation
acusadora	accusatrice
acriminar	accuser
acusar	accuser
culpar	accuser
culpar de	accuser
inculpar	accuser
procesar	accuser
resaltar	accuser
tachar	accuser
acusado	accusé
inculpado	accusé
marcado	accusé
procesado	accusé
pronunciado	accusé
querellado	accusé
reo	accusé
acusado	accusé
acuse de recibo	accusé
procesado	accusé
acuse de recibo	accusé de réception
acusada	accusée
procesada	accusée
acceso	accès
arranque	accès
arrebato	accès
arrechucho	accès
ataque	accès
brote	accès
embate	accès
entrada	accès
entrada de coches	accès
impulso	accès
rapto	accès
acceder	accéder
acceder a	accéder à
aceptar	accéder à
conceder	accéder à
independizar	accéder à l'indépendance
acelerador	accélérateur
acelerador	accélérateur
pedal del acelerador	accélérateur
aceleración	accélération
aceleramiento	accélération
abreviar	accélérer
acelerar	accélérer
activar	accélérer
agilizar	accélérer
aligerar	accélérer
apresurar	accélérer
acerbo	acerbe
cínico	acerbe
hiriente	acerbe
mordaz	acerbe
punzante	acerbe
clientela	achalandage
parroquia	achalandage
surtido	achalandé
ahínco	acharnement
empeño	acharnement
ensañamiento	acharnement
saña	acharnement
tenacidad	acharnement
tesón	acharnement
ensañarse	acharner
obstinarse	acharner
acérrimo	acharné
desaforado	acharné
empedernido	acharné
encarnizado	acharné
intenso	acharné
compra	achat
compraventa	achat et vente
envío	acheminement
expedición	acheminement
encaminar	acheminer
encaminarse	acheminer
enviar	acheminer
mandar	acheminer
remitir	acheminer
transportar	acheminer
comprar	acheter
corromper	acheter
sobornar	acheter
arrendar	acheter en crédit-bail
tomar en arriendo	acheter en crédit-bail
comprador	acheteur
adquirente	acheteur
adquiriente	acheteur
comprador	acheteur
compradora	acheteuse
acabalar	achever
acabar	achever
acabar con	achever
acabarse	achever
arrematar	achever
coronar	achever
dar fin a	achever
estar hecho	achever
finalizar	achever
poner fin a	achever
rematar	achever
terminar	achever
terminarse	achever
ultimar	achever
acabado	achevé
concluido	achevé
consumado	achevé
cumplido	achevé
perfecto	achevé
rematado	achevé
