term	SWT vs MWT	Nature of the term (CE vs. NE )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	variant morpho.tag	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
cobertura de telefonía móvil	MWT		N Sp NA	Ncfs Sp Ncfs A--s	cobertura de telefonías móviles	102	cobertura de telefonía móvil	51	cobertura de telefonía		53	anaphoric	yes	cobertura de telefonías	cobertura de telefonía	53	cobertura de telefonía móvil 2G y 3G
									cobertura de red		7	syntactic	yes	cobertura de red	cobertura de red	7	cobertura de red disponible
									cobertura		307	anaphoric	yes	cobertura	cobertura	307	fuera de cobertura
fibra óptica	MWT		NA	Ncfs A-fs	fibras ópticas	102	fibra óptica	54									conexión de fibra óptica multimodo
velocidad de transmisión	MWT		N Sp N	Ncfs Sp Ncms	velocidades de transmisión	84	velocidades de transmisión	28									velocidad de transmisión por tipos de cable
teléfono inalámbrico	MWT		NA	Ncms A-ms	teléfonos inalámbricos	64	teléfonos inalámbricos	36	telefonía inalámbrico	Ncfs A-ms	17	morphologic	no	telefonías inalámbricas	telefonía inalámbrica	11	terminal portátil del teléfono inalámbrico, canales de telefonía inalámbrica
servicio de red	MWT		N Sp N	Ncms Sp Ncfs	servicios de red, servicios de redes	63	servicio de red	16	servicio de telefonía		44	morphologic	yes	servicios de telefonías móviles	servicio de telefonía	25	proovedor de servicio de red, servicio de telefonía fija por medio inalámbrico
									servicio móvil		70	morphologic	yes	servicios móviles	servicios móviles	42	servicio móvil de datos y voz
									servicio de telefonía móvil		38	syntactic	yes	servicios de telefonías móviles		11	tarifas del servicio de telefonía móvil
									servicio telefónico		39	syntactic	yes	servicios telefónicos	servicio telefónico	18	servicio telefónico básico con conmutación automática
conmutación de paquete	MWT		N Sp N	Ncfs Sp Ncms	conmutación de paquetes	56	conmutación de paquetes	28									velocidad de conmutación de paquetes
operador de telefonía	MWT		N Sp N	Ncms Sp Ncfs	operador de telefonía, operadores de telefonía, operadoras de telefonía, operadora de telefonía	39	operadoras de telefonía	11	operador del teléfono móvil		2	anaphoric	yes	operador del teléfono móvil, operadores del teléfono móvil, operadoras del teléfono móvil, operadora del teléfono móvil	operador del teléfono móvil	1	operador de telefonía local, operador del teléfono móvil especial
longitud de onda	MWT		N Sp N	Ncfs Sp Ncfs	longitud de ondas, longitudes de ondas	37	longitudes de onda	16									intervalo de longitud de onda
onda de radio	MWT		N Sp N	Ncfs Sp Ncms	ondas de radio	37	ondas de radio	33									propagación de la onda de radio
terminal de conectividad	MWT		N Sp N	Ncfs de Ncfs	terminales de conectividad	36	terminal de conectividad	18									terminal de conectividad GSM
área de cobertura	MWT		N Sp N	Ncfs Sp Ncfs	áreas de cobertura	35	áera de cobertura	14	zona de cobertura		28	morphologic	yes	zonas de cobertura	zona de cobertura	13	área de cobertura de servicio,  dentro de la zona de cobertura
potencia radiar	MWT		N Vmp	Ncfs Vmp	potencia radiada	27	potencia radiada	14									potencia radiada con una antena
generación de telefonía móvil	MWT		N Sp NA	Ncfs Sp Ncfs A--s	generaciones de telefonía móvil	26	generación de telefonía móvil	8	generación móvil		8	anaphoric	yes	generaciones móviles	generaciones móviles	2	nueva generación de telefonía móvil,segunda generación móvil
									generación de teléfono inalámbrico	Ncfs Sp Ncms A-ms	4	syntactic	yes	generaciones de teléfonos inalámbricos	generaciones de teléfonos inalámbricos	4	
reconocimiento de voz	MWT		N Sp N	Ncms Sp Ncms	reconocimiento de voces	24	reconocimiento de voz	12									interfaz con reconocimiento de voz
telefonía vocal	MWT		NA	Ncfs A--s	telefonías vocales	22	telefonía vocal	15									servicio de telefonía vocal
mensaje de voz	MWT		N Sp N	Ncms Sp Ncms	mensajes de voz	21	mensajes de voz	13									mensaje de voz en formato de texto
señal de audio	MWT		N Sp N	Ncfs Sp Ncms	señales de audio	21	señal de audio	7									sistemas de procesamiento de la señal de audio internos
protocolo de red	MWT		N Sp N	Ncms Sp Ncms	protocolos de red, protocolos de redes	21	protocolos de red	6									protocolo de red más popular del mundo
salto de frecuencia	MWT		N Sp N	Ncms Sp Ncfs	saltos de frecuencia, saltos de frecuencias	19	salto de frecuencia	4									método de salto de frecuencia
transmisión de voz	MWT		N Sp N	Ncms Sp Ncfs	transmisión de voz	18	transmisión de voz	11									transmisión de voz y datos
transmisión de señal	MWT		N Sp N	Ncfs Sp Ncfs	transmisiones de señal, transmisión de señales	8	transmisión de señales	6									transmisión de la señal de radio
señal óptico	MWT		NA	Ncfs A-ms	señales ópticas	18	señal óptica	10									salidas de señal óptica
onda electromagnético	MWT		NA	Ncfs A-ms	ondas electronmagnéticas	12	ondas electromagnéticas	6									transmisión de las ondas electromagnéticas
tecnología de telefonía móvil	MWT		N Sp NA	Ncfs Sp Ncfs A--s	tecnologías de telefonía móvil	14	tecnologías de telefonía móvil	4	tecnología de comunicación móvil	Ncfs Sp Ncfs A--s	4	morphologic	yes	tecnologías de comunicación móviles, tecnologías de comunicaciones móviles	tecnologías de comunicación móviles	4	desarrollo de la tecnología de telefonía móvil
									tecnología de telefonía		8	anaphoric	yes	tecnologías de telefonía	tecnologías de telefonía	8	tecnología de telefonía inalámbrica digital
conexión telefónico	MWT		NA	Ncfs A-ms	conexiones telefónicas	11	conexión telefónica	6	interconexión telefónico		1	morphologic	no	interconexión telefónico	interconexión telefónico	1	conexión telefónica entre central y usuario, acuerdo de interconexion telefónico
									conexión de acceso telefónico		10	syntactic	yes	conexiones de acceso telefónico	conexión de acceso telefónico	6	creación de una nueva conexión de acceso telefónico
vía satélite	MWT	vía aquí es preposición , no? Es más bien una construcción adverbial diría yo	NA	Ncfs Ncms	vía satélite	11	vía satélite	11									posicionamiento vía satélite
espectro de frecuencia	MWT		N Sp N	Ncms Sp Ncfs	espectros de frecuencia	11	espectro de frecuencia	7									espectro de frecuencia de telefonía móvil
																	
cable de conectividad	MWT		N Sp N	Ncms Sp Ncfs	cables de conectividad	32	cable de conectividad	16	cable de conexión		2	morphologic	yes	cables de conexión	cable de conexión	2	controladores del cable de conectividad, cable de conexión correspondiente
línea telefónico	MWT		NA	Ncfs A-ms	líneas telefónicas	30	línea telefónica	20									línea telefónica en conexiones
teléfono inalámbrico	MWT		NA	Ncms A-ms	teléfonos inalámbricos	30	teléfono inalámbrico	18	teléfono móvil		394	teléfonos móviles	yes	teléfonos móviles		232	anatomía de un teléfono inalámbrico, teléfono móvil compatible
rango de frecuencia	MWT		N Sp N	Ncms Sp Ncfs	rangos de frecuencia	17	rangos de frecuencia	15									rango de frecuencia utilizado
miniclavija óptico	MWT		NA	Ncfs A-ms	miniclavijas ópticas	14	miniclavia óptica	14									miniclavija óptica a la entrada
paquete de dato	MWT		N Sp N	Ncms Sp Ncms	paquete de datos, paquetes de datos	62	paquetes de datos	62									protocolo de direccionamiento de paquete de datos
conmutación de circuito	MWT		N Sp N	Ncms Sp Ncms	conmutación de circuitos	48	conmutación de circuitos	46									sistema de conmutación de circuitos
comando de voz	MS		N Sp N	Ncms Sp Ncms	comandos de voz	34	comandos de voz	34									 comando de voz personal
sistema de telefonía	MWT		N Sp N	Ncms Sp Ncfs	sistemas de telefonía	32	sistema de telefonía										sistema de telefonía analógico
conexión de dato	MWT		N Sp N	Ncms Sp Ncms	conexión de datos	31	conexión de datos	17									conexión de datos del teléfono
aplicación móvil	MWT		NA	Ncfs A--s	apliaciones móviles	31	aplicaciones móviles	25									mercado de las aplicaciones móviles
sistema radiante	MWT		NA	Ncfs A--s	sistemas radiantes	31	sistema radiante	31									compartición del sistema radiante
repetidor óptico	MWT		NA	Ncms A-ms	repetidores ópticos	30	repetidores ópticos	30									sistema de repetidores ópticos
red inalámbrico	MWT		NA	Ncfs A-ms	redes inalámbricas	28	red inalámbrica	27									 red inalámbrica de área metropolitana
sociedad móvil hiperconectar	MWT		NA Vmp	Ncms A--s Vmp	sociedades móviles hiperconectadas	8	sociedad móvil hiperconectada	8									nueva sociedad móvil hiperconectada
red de banda ancho	MWT		N Sp NA	Ncfs Sp Ncfs A-ms	redes de banda ancha	6	redes de banda ancha	6									red de banda ancha móvil
ancho de banda	MWT		N Sp N	Ncms Sp Ncfs	ancho de banda	115	ancho de banda	115									aumento del ancho de banda
bits de dato	MWT		N Sp N	Ncms Sp Ncms	bits de datos	6	 bits de datos	6									bits de datos por segundo
protocolo de encaminamiento	MWT		N Sp N	Ncms Sp Ncms	protocolos de encaminamiento	8	protocolos de encaminamiento										nuevos protocolos de encaminamiento
eficiencia espectral	MWT		NA	Ncfs A--s	eficiencia espectral	19	eficiencia espectral	19	eficiencia del espectro		4	syntactic	yes	eficiencias del espectro	eficiencia del espectro	4	"incremento de la eficiencia espectral,  eficiencia del espectro de 
frecuencia mayor"
marcación rápido	MWT		NA	Ncfs A-ms	marcación rápida	17	marcación rápida	17	marcado rápido		12	morphologic	yes	marcado rápido	marcado rápido	12	entradas de marcación rápida, entrada de marcado rápido
rango de transmisión	MWT		N Sp N	Ncms Sp Ncfs	rangos de transmisión	14	rango de transmisión	14									rango de transmisión de datos
miniclavija estereofónico	MWT		NA	Ncfs A-ms	miniclavijas estereofónicas	13	miniclavija estereofónica	13									distribución del panel de una miniclavija estereofónica
satélite geoestacionario	MWT		NA	Ncms A-ms	satélites geoestacionarios	12	satélites geoestacionarios	12									sincronización de un satélite geoestacionario 
antena repetidor	MWT		NN	Ncfs Ncms	antenas repetidoras	12	antena repetidora	6									antenas repetidoras o vía satélite
codificación de voz	MWT		N Sp N	Ncfs Sp Ncms	codificación de voz	12	codificación de voz	12									estándares de codificación de voz
antena del terminal móvil	MWT		N Sp D N	Ncfs Sp D Ncms A--s	antenas del terminal móvil	12	antena del términal móvil	6									potencia de la antena del terminal móvil
señal de radiofrecuencia	MWT		N Sp N	Ncfs D Ncfs	señales de radiofrecuencia	12	señal de radiofrecuencia	6									portadora por medio de una señal de radiofrecuencia
dispositivo WAP	MWT		N N	Ncms Np	dispositivos WAP	6	dispositivos WAP	6									dispositivos WAP(Wireless Application Protocol)
señal portadora	MWT		NA	Ncfs A-fs	señales portadoras	9	señal portadora	9									señales portadoras de la información
joystick óptico	MWT		NA	Ncms A-ms	joysticks ópticos	8	joystick óptico	8									uso del joystick óptico
principio de neutralidad	MWT		N Sp N	Ncms Sp Ncfs	principio de neutralidad	6	principio de neutralidad	6									principio de neutralidad tecnológica
estación transmisora	MWT		NA	Ncfs A-fs	estaciones transmisoras	7	estación transmisora	7									mantenimiento de la estación transmisora
pantalla táctil	MWT		NA	Ncfs A--s	pantallas táctiles	7	pantallas táctiles	5									pantalla táctil del móvil
unidad remoto	MWT		NA	Ncfs A--s	unidades remotas, unidades remoto	7	unidades remotas	4									control de las unidades remotas
central de conmutación	MWT		N Sp N	Ncfs Sp Ncfs	centrales de conmutación	7	centrales de conmutación	5									central de conmutación de la red
protocolo IP	MWT		NNp	Ncms Np	protocolo IP	28	protocolo IP	28									países con el protocolo IP
tarjeta SIM	MWT		N Np	Ncfs Np	tarjetas SIM	11	tarjeta SIM	11									contactos de su tarjeta SIM
redes UMTS	MWT		N Np	Ncmp Np	redes UMTS	11	redes UMTS	6									estructura de redes UMTS
terminal 3G	MWT		N Np	Ncms Np	terminales 3G	10	terminal 3G	5									venta de los terminales 3G
conexión Bluetooth	MWT		N Np	Ncfs Np	conexiones Bluetooth	7	conexión Bluetooth	6									sincronización mediante una conexión Bluetooth
tecnología GPRS	MWT		N Np	Ncfs Np	tecnología GPRS	24	tecnología GPRS	24									implantación de la tecnología GPRS
