term	SWT vs MWT	Nature of the term (CE vs. NE )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses	
Latenzzeit	SWT (CP)		N	Ncfsn	native	Latenzzeit	7	Latenzzeit	7								
Menüführung	SWT (CP)		N	Ncfsn	native	Menüführung	56	Menüführung	56								
Mobilfunk	SWT (CP)		N	Ncmsn	native	Mobilfunk, mobilfunk, Mobilfunks	96	Mobilfunk	83								Mobilfunknetz, Mobilfunkanbieter, Mobilfunkvertrag, Mobilfunknetzbetreiber
Mobilfunknetz	SWT (CP)		N	Ncmsn	Mobilfunknetz, Mobilfunknetze, Mobilfunknetzen, MobilfunknetzesMobilfunknetz	43	Mobilfunknetz	23								Mobilfunknetzbetreiber, Mobilfunknutzer	
Mobilfunksystem	SWT (CP)		N	Ncnsn	Mobilfunksystem, Mobilfunksystems, Mobilfunksysteme, Mobilfunksystemen	14	Mobilfunksystem	6									
Mobilteil	SWT (CP)		N	Ncnsn	native	Mobilteil, Mobilteils, Mobilteile, Mobilteilen	72	Mobilteil	33								
Mobiltelefon	SWT (CP)		N	Ncnsn	native	Mobiltelefon, Mobiltelefonen	354	Mobiltelefon	207								
Multifunktionsgerät	SWT (CP)		N	Ncnsn	native	Multifunktionsgerät, Multifunktionsgeräte	26	Multifunktionsgerät	25								
Navigationsgerät	SWT (CP)		N	Ncfmsn	Navigationsgerät, Navigationsgeräte	9	Navigationsgerät	7									
Navigationssystem	SWT (CP)		N	Ncnsn	Navigationssystem, Navigationssysteme	22	Navigationssystem	21									
Schiebehandy	SWT (CP)		N	Ncnsn	Schiebehandy	13	Schiebehandy	13									
Signalstärke	SWT (CP)		N	Ncfsn	Signalstärke	63	Signalstärke	63									
Speichergröße	SWT (CP)		N	Ncfsn	Speichergröße	94	Speichergröße	94									
Speicherkarte	SWT (CP)		N	Ncfsn	native	Speicherkarte, Speicherkarten, speicherkarten	229	Speicherkarte	210								
Speicherslot	SWT (CP)		N	Ncmsn	native	Speicherslots	45	Speicherslots	45								
Sprachnachricht	SWT (CP)		N	Ncfsn	Sprachnachricht, Sprachnachrichten	65	Sprachnachricht	62									
Sprachqualität	SWT (CP)		N	Ncfsn	Sprachqualität, sprachqualität	49	Sprachqualität	48									
Tastaturschloss	SWT (CP)		N	Ncmsn	Tastaturschloss	62	Tastaturschloss	62									
Tastatursperre	SWT (CP)		N	Ncfsn	Tastatursperre	32	Tastatursperre	32									
Textnachricht	SWT (CP)		N	Ncfsn	Textnachricht, Textnachrichten	41	Textnachricht	33									
UMTS-Stick	SWT (CP)		N	Ncmsn	UMTS-Stick, UMTS-Sticks	9	UMTS-Stick	7									
Vibrationssignal	SWT (CP)		N	Ncssn	Vibrationssignal	31	 Vibrationssignal	31									
Zeitschlitz	SWT (CP)		N	Ncmsn	Zeitschlitz, Zeitschlitze,Zeitschlitzes,  Zeitschlitzen	16	Zeitschlitz	8								Zeitschlitzdynamik, Zeitschlitzfolge, Zeitschlitzstruktur	
elektromagnetisch Feld	MWT		A N	A-p--- Ncfsn	elektromagnetische Feld, elektromagnetischen Feld, elektromagnetische Felder, elektromagnetischen Feldern, elektromagnetischen Felder	12	elektromagnetischen Feldern	4									
elektromagnetisch Welle	MWT		A N	A-p--- Ncfsn	Elektromagnetische Wellen, elektromagnetische Wellen, Elektromagnetischen Wellen, elektromagnetischen Wellen, elektromagnetische Welle, elektromagnetischer Wellen, elektromagnetischen Welle	15	elektromagnetische Wellen	5									
hoch Datenrate	MWT		A N	A-p--- Ncfsn	höhere Datenraten, hohe Datenrate, hohen Datenrate, hohen Datenraten, höheren Datenrate, höheren Datenraten	11	höhere Datenraten	5									
integriert Anrufbeantworter	MWT		A N	A-p--- Ncfsn	integrierte Anrufbeantworter, integrierten Anrufbeantworter, integrierter Anrufbeantworter, Integrierter Anrufbeantworter	20	integrierte Anrufbeantworter	6									
logisch Kanal	MWT		A N	A-p--- Ncfsn	logische Kanäle, Logische Kanäle, Logischer Kanal, logischen Kanal	8	logische Kanäle	4									
mobil Gerät	MWT		A N	A-p--- Ncfsn	mobile Geräte, mobilen Geräten, Mobile Geräte, mobilen Geräte, mobilen Gerät, mobiles Gerät	31	mobilen Gerät	20									
mobil Internet	MWT		A N	A-p--- Ncfsn	Mobiles Internet, mobiles Internet, Mobile Internet, mobile Internet, mobilen Internet, mobiler Internet, mobiles internet	54	Mobiles Internet	15									
mobil Kommunikation	MWT		A N	A-p--- Ncfsn	mobile Kommunikation, Mobile Kommunikation, mobilen Kommunikation	23	mobile Kommunikation	11									
polyphon Klingelton	MWT		A N	A-p--- Ncfsn	Polyphone Klingeltöne, polyphone Klingeltöne	14	Polyphone Klingeltöne	7									
schnurlos Telefon	MWT		A N	A-p--- Ncfsn	Schnurloses Telefon, Schnurlos Telefon, Schnurlose Telefon, Schnurlose Telefone, Schnurlose telefone, schnurlos telefon, Schnurloses Telefone, schnurloses telefon, schnurlosem telefon	85	Schnurloses Telefon	55									
technisch Datum	MWT		A N	A-p--- Ncfsn	technische daten, Technische Daten, technischen Daten, TECHNISCHE DATEN, technische Daten, Technischen Daten, technischer Daten	187	technische Daten	110									
