term	SWT vs MWT	Nature of the term (CEvs. native )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
output power	MWT		N N	Nc-s- Nc-s-	- 	44	output power	44								
renewable source	MWT		A N	A---s- Nc-s-	renewable sources	39	renewable sources	33								
rotor shaft	MWT		N N	Nc-s- Nc-s-	- 	11	rotor shaft	11								main rotor shaft
wind vane	MWT		N N	Nc-s- Nc-s-	wind vanes	11	wind vane	7								
transmission system	MWT		N N	Nc-s- Nc-s-	transmission systems	35	transmission system	31								
Darrieus rotor	MWT		N N	Np-s- Nc-s-	- 	9	Darrieus rotor	9								
Savonius rotor	MWT		N N	Np-s- Nc-s-	Savonius rotors	8	Savonius rotor	5								
rotor assembly	MWT		N N	Nc-s- Nc-s-	- 	7	rotor assembly	7								
lateral angle	MWT		A N	A---s- Nc-s-	lateral angles	31	lateral angle	30								
wind angle	MWT		N N	Nc-s- Nc-s-	wind angles	26	wind angle	23								
offshore wind turbine	MWT		A N N	A---s- Nc-s- Nc-s-	offshore wind turbines	58	offshore wind turbines	30	off-shore wind turbine	3	graphical	yes	off-shore wind turbines	off-shore wind turbine	2	
onshore wind turbine	MWT		A N N	A---s- Nc-s- Nc-s-	onshore wind turbines	5	onshore wind turbine	4	on-shore wind turbines	2	graphical	yes	- 			
domestic wind turbine	MWT		A N N	A---s- Nc-s- Nc-s-	domestic wind turbines	35	domestic wind turbine	21								
wind system	MWT		N N	Nc-s- Nc-s-	wind systems	32	wind systems	19								
rate power	MWT		N N	Nc-s- Nc-s-	rated powers	65	rated power	64								
sustainable energy	MWT		A N	A---s- Nc-s-	- 	39	sustainable energy	39	green energy	16	paradigmatic	yes				
vertical axis wind turbine	MWT		A N N N	A---s- Nc-s- Nc-s- Nc-s-	vertical axis wind turbines	96	vertical axis wind turbine	61	VAWT	109	transposition (abbreviation)	yes				
									vertical-axis wind turbine	27	graphical	yes	vertical-axis wind turbines	vertical-axis wind turbine	15	
horizontal axis wind turbine	MWT		A N N N	A---s- Nc-s- Nc-s- Nc-s-	horizontal axis wind turbines	30	horizontal axis wind turbines	26	HAWT	147	transposition (abbreviation)	yes				
									horizontal-axis wind turbine	57	graphical	yes	horizontal-axis wind turbines	horizontal-axis wind turbines	30	
wind industry	MWT		N N	Nc-s- Nc-s-		81										
power curve	MWT		N N	Nc-s- Nc-s-	power curves	73	power curve	72	curve of power	1						
noise sensitivity	MWT		N N	Nc-s- Nc-s-		58										
carbon dioxide	MWT		N N	Nc-s- Nc-s-		51										
energy conversion efficiency	MWT		N N N 	Nc-s- Nc-s- Nc-s-		4										
angular position	MWT		A N	A---s- Nc-s-	angular positions	6	angular position	5								
drag coefficient	MWT		N N	Nc-s- Nc-s-		34										
