term	SWT vs MWT	Nature of the term (CEvs. native )	pattern	morpho. tag	inflected forms	frequency (lemma and forms)	most frequent form used	frequency of most frequent form used	variant (lemma)	frequency (lemma and forms)	type of variant	synonymic variant	inflected forms of the variant	most frequent form used	frequency of most frequent form used	collocational uses
Effektivwert	SWT		NN	Ncms	Effektivwert, Effektivwerts, Effektivwertes, Effektivwerte, Effektivwerten	62	Effektivwert	41	-	-	-	-	-	-	-	effektivwertbildend Strommeßgerät, Effektivwert von Spannung, Effektivwert der Stromstärke
Exergie	SWT		NN	Ncfs	Exergie	57	Exergie	57	-	-	-	-	-	-	-	reine Exergie, Exergieverlust, Verwendung von Exergie, Exergieanteil
Fallwind	SWT		NN	Ncms	Fallwind, Fallwindes, Fallwinds, Fallwinde, Fallwinden	9	Fallwind	9	-	-	-	-	-	-	-	Entstehung von Fallwinden
Impedanz	SWT		NN	Ncfs	Impedanz	62	Impedanz	62	-	-	-	-	-	-	-	Quellimpedanz, Impedanztransformation, Betrag der Körperimpedanz
Influenz	SWT		NN	Ncfs	Influenz	31	Influenz	31	-	-	-	-	-	-	-	Influenzmaschine, Influenzgenerator, Kraftwirkung durch Influenz, Effekt der Influenz
Isolator	SWT		NN	Ncms	Isolator, Isolators, Isolatoren	62	Isolatoren	38	-	-	-	-	-	-	-	Isolator aus Glas, Isolatormaterial, Öl-Isolator
Kommutator	SWT		NN	Ncms	Kommutator, Kommutators, Kommutatoren	32	Kommutator	30	-	-	-	-	-	-	-	segmentierter Kommutator, Funkenbildung am Kommutator, Kommutatormotor
Kathode	SWT		NN	Ncfs	Kathode, Kathoden	120	Kathode	98	-	-	-	-	-	-	-	Kaltkathodenlampe, Heißkathodenlampe, Photokathode, Lebensdauer d Glühkathode
Konvektion	SWT		NN	Ncfs	Konvektion	78	Konvektion	78	-	-	-	-	-	-	-	freie Konvektion, Konvektionszone, Art der Konvektion, vertikal Konvektionsströmung
Nennleistung	SWT		NN	Ncfs	Nennleistung, Nennleistungen	261	Nennleistung	251	-	-	-	-	-	-	-	Nennleistungsbereich, Gesamt-Nennleistung, installierte Nennleistung, Windenergieanlage im Nennleistungsbetrie, Wirkungsgrad bei Nennleistung, Nennleistung einer Windkraftanlage
Neutralleiter	SWT		NN	Ncms	Neutralleiter, Neutralleiters, Neutralleitern	34	Neutralleiter	32	-	-	-	-	-	-	-	geerdeter Neutralleiter, Strom im Neutralleiter, Neutralleiterstrom
Nutzenergie	SWT		NN	Ncfs	Nutzenergie	90	Nutzenergie	90	-	-	-	-	-	-	-	Nutzenergieanteil, Nutzenergie im Energieversorgungssystem, Nutzenergie aus Wind, Nutzenergiebedarf
Ökostrom	SWT		NN	Ncms	Ökostrom, Ökostroms, Ökostromes	207	Ökostrom	207	Öko-Strom	6	graphical	yes	Öko-Strom, Öko-Stroms, Öko-Stromes	Öko-Strom	6	gesamter Ökostrom, Ökostrom aus Offshore-Windparks, Angebot an Ökostrom, Ökostromquelle, Ökostromanbieter
Repowering	SWT		NN	Ncns	Repowering, Repowerings	137	Repowering	131	-	-	-	-	-	-	-	Kommunale Repowering-Strategien, Repowering von Windenergieanlagen, im Rahmen des Repowerings
Rotor	SWT		NN	Ncms	Rotor, Rotors, Rotoren	369	Rotor	220	-	-	-	-	-	-	-	Rotorachse, Savonius-Rotor, Rotornabe, Rotorwelle, bewegter Rotor, Anlage mit H-Rotoren
Ständerstrom	SWT		NN	Ncms	Ständerstrom, Ständerstroms, Ständerstromes, Ständerströme, Ständerströmen	17	Ständerstrom	15	-	-	-	-	-	-	-	transienter Ständerstrom, Wechselkomponente der Ständerströme
Stromstärke	SWT		NN	Ncfs	Stromstärke, Stromstärken	182	Stromstärke	166	-	-	-	-	-	-	-	elektrisch Stromstärke, hohe Stromstärken, geringe Stromstärke, Wirkstromstärke, Blindstromstärke
Supraleitung	SWT		NN	Ncfs	Supraleitung, Supraleitungen	34	Supraleitung	34	-	-	-	-	-	-	-	Generator mit Hochtemperatur-Supraleitung, Effekt der Supraleitung
Synchronmaschine	SWT		NN	Ncfs	Synchronmaschine, Synchronmaschinen	67	Synchronmaschine	48	-	-	-	-	-	-	-	Drehstrom-Synchronmaschinen, Einphasen-Synchronmaschinen
Triebstrang	SWT		NN	Ncms	Triebstrang, Triebstrangs, Triebstranges, Triebstränge, Triebsträngen	34	Triebstrang	27	-	-	-	-	-	-	-	Triebstrangkette, Belastung im Triebstrang, Triebstrangverhalten
Umformer	SWT		NN	Ncms	Umformer, Umformers, Umformern	66	Umformer	57	Umwandler	7	?	yes	Umwandler, Umwandlers, Umwandlern	-	-	rotierender Umformer, Umformerwerk
Umrichter	SWT		NN	Ncms	Umrichter, Umrichters, Umrichtern	42	Umrichter	38	Stromumrichter	1	?	yes	Stromumrichter, Stromumrichters, Stromumrichtern	Stromumrichter	1	statisch Umrichter, Bahnstromumrichterwerk, Frequenzumrichter
Wind	SWT		NN	Ncms	Wind, Winde, Winds, Windes, Winden	869	Wind	772	-	-	-	-	-	-	-	schwacher Wind, starker Wind, Energie aus Wind, Nutzung des Windes
energieeffizient	SWT		A	A	energieeffiziente, energieeffizientes, energieeffizienter, energieeffizientem, energieeffizienten	85	energieeffizienten	6	energie-effizient	1	graphical	yes	energie-effiziente, energie-effizientes, energie-effizienter, energie-effizientem, energie-effizienten	Energie-effizientes	1	energieeffizientes Bauen, Einsatz energie-effizienterer Geräte
influenzierend	SWT		A	A	influenzierende, influenzierendes, influenzierender, influenzierendem, influenzierenden	6	influenzierenden	5	-	-	-	-	-	-	-	influenzierende Ladung, influenzierend Feldquelle
leitfähig	SWT		A	A	leitfähige, leitfähiges, leitfähiger, leitfähigem, leitfähigen	26	leitfähigen	11	-	-	-	-	-	-	-	leitfähiger Körper, leitfähige Flüssigkeit, leitfähiges Material
netzgekoppelt	SWT		A	A	netzgekoppelte, netzgekoppeltes, netzgekoppelter, netzgekoppeltem, netzgekoppelten	20	netzgekoppelten	10	-	-	-	-	-	-	-	netzgekoppelt Anlage
polumschaltbar	SWT		A	A	polumschaltbare, polumschaltbares, polumschaltbarer, polumschaltbarem, polumschaltbaren	24	polumschaltbaren	16	-	-	-	-	-		-	polumschaltbar Asynchrongenerator, polumschaltbar Einphasenasynchrongenerator
sinusförmig	SWT		A	A	sinusförmige, sinusförmiges, sinusförmiger, sinunsförmigem, sinusförmigen	60	sinusförmigen	19	-	-	-	-	-	-	-	sinusförmiger Stromverlauf, sinusförmig Wechselstrom, sinusförmig Spannung
stall-gesteuert	SWT		A	A	stall-gesteuerte, stall-gesteuertes, stall-gesteuerter, stall-gesteuertem, stall-gesteuerten	9	stall-gesteuerten	5	stallgesteuert	2	graphical	yes	stallgesteuerte, stallgesteuertes, stallgesteuerter, stallgesteuertem, stallgesteuerten		5	stall-gesteuerten Anlage
tangential	SWT		A	A	tangentiale, tangentiales, tangentialer, tangentialem, tangentialen	6	tangentiale	6	-	-	-	-	-	-	-	tangentiale Bewegungskomponente, tangentiale Kraft
windbedingt	SWT		A	A	windbedingte, windbedingtes, windbedingter, windbedingtem, windbedingten	17	windbedingten	15	-	-	-	-	-			windbedingte Fremdgeräusche, windbedingte Fluktuation
																
SWT Neoclassical																
stromdurchflossen	SWT	CE	A	A	stromdurchflossene, stromdurchflossenes, stromdurchflossener, stromdurchflossenem, stromdurchflossenen	19	stromdurchflossenen	17	-	-	-	-	-	-	-	stromdurchflossener Leiter
induktiv	SWT	CE	A	A	induktive, induktives, induktiver, induktivem, induktiven	59	induktiven	20	-	-	-	-	-	-	-	induktiver Blindstrom, induktiver Blindwiderstand 
elektrolytisch	SWT	CE	A	A	elektrolytische, elektrolytisches, elektrolytischer, elektrolytischem, elektrolytischen	21	elektrolytisch	10	-	-	-	-	-	-	-	elektrolytische Raffination, elektrolytischer Leiter
Transformator	SWT	CE	NN	Ncms	Transformator, Transformators, Transformatoren	286	Transformator	121	-	-	-	-	-	-	-	Transformatorkern, Drehstromtransformator, Transformatorenstation, Netztransformator, Maschinentransformator
Induktivität	SWT	CE	NN	Ncfs	Induktivität	122	Induktivität	103	-	-	-	-	-	-	-	technisch Induktivität, hohe Induktivität, Rotorinduktivität, Streuinduktivität
Anemometer	SWT	CE	NN	Ncms	Anemometer, Anemometers, Anemometern	6	Anemometer	4	-	-	-	-	-	-	-	kalibrierter Anemometer
Elektrodynamik	SWT	CE	NN	Ncfs	Elektrodynamik	62	Elektrodynamik	62	-	-	-	-	-	-	-	Elektrodynamik bewegter Körper, Invarianz der Elektrodynamik, klassisch Elektrodynamik
Elektroenergiesystem	SWT	CE	NN	Ncns	Elektroenergiesystem, Elektroenergiesystems, Elektroenergiesysteme, Elektroenergiesystemen	19	Elektroenergiesysteme	19	-	-	-	-	-	-	-	-
Elektrolyt	SWT	CE	NN	Ncms	Elektrolyt, Elektrolyts, Elektrolyte, Elektrolyten	75	Elektrolyt	41	-	-	-	-	-	-	-	alkalischer Elektrolyt, Festkörper-Elektrolyt
Elektrophil	SWT	CE	NN	Ncns	Elektrophil, Elektrophils, Elektrophile, Elektrophylen	7	Elektrophyl	3	-	-	-	-	-	-	-	reagierendes Elektrophil
Dielektrikum	SWT	CE	NN	Ncns	Dielektrikum, Dielektrikums, Dielektrika	7	Dielektrikum	6	-	-	-	-	-	-	-	Papierdielektrikum, Symmetrierungskondensatoren mit Papierdielektrikum
Diode	SWT	CE	NN	Ncfs	Diode, Dioden	66	Diode	35	-	-	-	-	-	-	-	Dopppelspitzendiode, Bypass-Dioden, Lateraldiode, Entwicklung d Spitzendiode, Sperrschicht der Diode
Dipol	SWT	CE	NN	Ncms	Dipol, Dipols, Dipole, Dipolen	12	Dipol	6	-	-	-	-	-	-	-	elektrischer Dipol, Dipolfeld, Betrag des Dipolmoments, Dipolmoment eines Dipols
regenerativ	SWT	CE	A	A	regenerative, regeneratives, regenerativer, regenerativem, regenerativen	335	regenerativen	131	erneuerbar	2680		yes	erneuerbare, erneuerbares, erneuerbarer, erneuerbarem, erneuerbaren	erneuerbare	1249	regenerative Energie, regenerative Energieform, regenerative Energiequelle
																
MWT																
Windturbine	SWT (CP)		NN	Ncfs	Windturbine, Windturbinen	60	Windturbinen	39	Wind-Turbine	1	graphical	yes	Wind-Turbine, Wind-Turbinen	Wind-Turbinen	1	-
Bruttostromerzeugung	SWT (CP)		NN	Ncfs	Bruttostromerzeugung, Bruttostromerzeugungen	38	Bruttostromerzeugung	38	Brutto-Stromerzeugung	2	graphical	yes	Brutto-Stromerzeugung	Brutto-Stromerzeugung	2	gesamte Bruttostromerzeugung, Bruttostromerzeugung im Jahr, 
Drehachse	SWT (CP)		NN	Ncfs	Drehachse, Drehachsen	44	Drehachse	41	-	-	-	-	-	-	-	verschobene Drehachse, Rotordrehachse
Drehimpuls	SWT (CP)		NN	Ncms	Drehimpuls, Drehimpulses, Drehimpulse, Drehimpulsen	60	Drehimpuls	50	-	-	-	-	-	-	-	hoher Drehimpuls, Verlust an Eigendrehimpuls, Bahndrehimpuls
Energieeffizienz	SWT (CP)		NN	Ncfs	Energieeffizienz	235	Energieeffizienz	227	Energie-Effizienz	2	graphical	yes	Energie-Effizienz	Energie-Effizienz	2	Energieeffizienz des Gesamtsystems, hohe Energieeffizienz
Energiequelle	SWT (CP)		NN	Ncfs	Energiequelle, Energiequellen	388	Energiequellen	245	-	-	-	-	-	-	-	fossile Energiequelle, alternativ Energiequelle, natürlich Energiequelle, Primärenergiequelle
Energiestatistik	SWT (CP)		NN	Ncfs	Energiestatistik, Energiestatistiken	14	Energiestatistiken	14	-	-	-	-	-	-	-	Gesamtenergiestatistik
Energieversorgung 	SWT (CP)		NN	Ncfs	Energieversorgung, Energieversorgungen	447	Energieversorgung	443	-	-	-	-	-	-	-	sichere Energieversorgung, bezahlbare Energieversorgung, zukunftsfähige Energieversorgung, Energieversorgungsnetz, Optimierung der Energieversorgungssysteme
Impulserhaltung	SWT (CP)		NN	Ncfs	Impulserhaltung	35	Impulserhaltung	35	-	-	-	-	-	-	-	Drehimpulserhaltung
Leistungsbeiwert	SWT (CP)		NN	Ncms	Leistungsbeiwert, Leistungsbeiwerts, Leistungsbeiwertes, Leistungsbeiwerte, Leistungbeiwerten	27	Leistungsbeiwert	21	-	-	-	-	-	-	-	optimaler Leistungsbeiwert, Leistungsbeiwert des Repellers
Nabenhöhe	SWT (CP)		NN	Ncfs	Nabenhöhe, Nabenhöhen	67	Nabenhöhe	65	-	-	-	-	-	-	-	Windgeschwindigkeit in Nabenhöhe, Variationsbereich der Nabenhöhen
Netzausbau	SWT (CP)		NN	Ncms	Netzausbau, Netzausbaus	43	Netzausbau	35	-	-	-	-	-	-	-	angestrebter Netzausbau, Offshore-Netzausbau
Primärenergie	SWT (CP)		NN	Ncfs	Primärenergie, Primärenergien	282	Primärenergie	258	-	-	-	-	-	-	-	eingesetzt Primärenergie, Verbrauch von Primärenergie, Primärenergiefaktor, Primärenergieträger, Primärenergieverbrauch
Rotationsenergie	SWT (CP)		NN	Ncfs	Rotationsenergie, Rotationsenergien	80	Rotationsenergie	80	-	-	-	-	-	-	-	mechanische Rotationsenergie, Verlust an Rotationsenergie
Rotorblatt	SWT (CP)		NN	Ncns	Rotorblatt, Rotorblattes, Rotorblatts, Rotorblätter, Rotorblättern	222	Rotorblätter	129	-	-	-	-	-	-	-	verstellbares Rotorblatt, drehendes Rotorblatt, Offshore-Rotorblatt für Windkraftanlage, Rotorblattverstellung
Rotorfläche	SWT (CP)		NN	Ncfs	Rotorfläche, Rotorflächen	24	Rotorfläche	19	-	-	-	-	-	-	-	überstrichene Rotorfläche
Rotorwelle	SWT (CP)		NN	Ncfs	Rotorwelle, Rotorwellen	31	Rotorwelle	31	-	-	-	-	-	-	-	Drehbewegung der Rotorwelle
Stromeinspeisung	SWT (CP)		NN	Ncfs	Stromeinspeisung, Stromeinspeisungen	10	Stromeinspeisung	10	Einspeisung von Strom	8	morphological	yes	Einspeisung von Strom, Einspeisungen von Strom	Einspeisung von Strom	7	-
Stromdichte	SWT (CP)		NN	Ncfs	Stromdichte, Stromdichten	58	Stromdichte	50	Energiestromdichte	1	?	yes	Energiestromdichte, Energiestromdichten	Energiestromdichte	1	Wärmestromdichte, hohen Stromdichte
Stromerzeugung	SWT (CP)		NN	Ncfs	Stromerzeugung, Stromerzeugungen	611	Stromerzeugung	611	Strom-Erzeugung	1	graphical	yes	Strom-Erzeugung, Strom-Erzeugungen	Strom-Erzeugung	1	weltweit Stromerzeugung, regenerative Stromerzeugung, konventionelle Stromerzeugung, Stromerzeugung durch Windenergie, Stromerzeugungsanlag, Stromerzeugungskosten
Stromnetz	SWT (CP)		NN	Nfns	Stromnetz, Stromnetze, Stromnetzes, Stromnetzen	384	Stromnetz	259	-	-	-	-	-	-	-	Stromnetzbetreiber
Strömungsenergie	SWT (CP)		NN	Ncfs	Strömungsenergie, Strömungsenergien	22	Strömungsenergie	22	Energie d Strömung	2	syntactic	yes	Energie der Strömung, Energie der Strömungen	Energie der Strömung, Energie der Strömungen	1,1	Strömungsenergie des Windes, Nutzung der Strömungsenergie
Synchrongenerator	SWT (CP)		NN	Ncms	Synchrongenerator, Synchrongenerators, Synchrongeneratoren	44	Synchrongeneratoren	24	Synchron-Generator	1	graphical	yes	Synchron-Generatoren	Synchron-Generatoren	1	vielpoliger Synchrongenerator
Offshore-Umspannwerk	SWT (CP)		NN	Ncns	Offshore-Umspannwerk, Offshore-Umspannwerks, Offshore-Umspannwerkes, Offshore-Umspannwerke, Offshore-Umspannwerken	22	Offshore-Umspannwerk	15	-	-	-	-	-	-	-	errichtet Offshore-Umspannwerk, Offshore-Umspannwerk des Windparks, Installation des Offshore-Umspannwerks
Sekundärenergie	SWT (CP)		NN	Ncfs	Sekundärenergie, Sekundärenergien	32	Sekundärenergie	30	-	-	-	-	-	-	-	Sekundärenergiebedarf, Sekundärenergieträger
Verlustleistung	SWT (CP)		NN	Ncfs	Verlustleistung, Verlustleistungen	67	Verlustleistung	62	-	-	-	-	-	-	-	maximale Verlustleistung, geringe Verlustleistung, hohe Verlustleistung
Volllaststunde	SWT (CP)		NN	Ncfs	Volllaststunde, Volllaststunden	33	Vollaststunden	33	-	-	-	-	-	-	-	jährliche Volllaststunden, Volllaststunden im Monat, Volllaststunden pro Jahr, Volllaststundenzahl
Windenergieanlage	SWT (CP)		NN	Ncfs	Windenergieanlage, Windenergieanlagen	1063	Windenergieanlage	894	Windenergie-Anlage	25	graphical	yes	Windenergie-Anlagen	Windenergie-Anlagen	5	Schattenwurf von Windenergieanlagen, Offshore-Windenergieanlage
Windenergienutzung	SWT (CP)		NN	Ncfs	Windenergienutzung, Windenergienutzungen	192	Windenergienutzung	192	Windenergie-Nutzung	26	graphical	yes	Windenergie-Nutzung	Windenergie-Nutzung	26	Windenergienutzung auf See, Offshore-Windenergienutzung, Ausbau der Windenergienutzung
Windgenerator	SWT (CP)		NN	Ncms	Windgenerator, Windgenerators, Windgeneratoren	34	Windgenerator	16	-	-	-	-	-	-	-	-
Windkraftleistung	SWT (CP)		NN	Ncfs	Windkraftleistung, Windkraftleistungen	33	Windkraftleistung	32	-	-	-	-	-	-	-	installiert Windkraftleistung
Windpark	SWT (CP)		NN	Ncms	Windpark, Windparks	697	Windparks	403	Wind-Park	8	graphical	yes	Wind-Parks	Wind-Parks	8	Offshore-Windpark, Strom aus Offshore-Windparks, Strömungsverhältnis im Windpark, Windpark auf See
Windrad	SWT (CP)		NN	Ncns	Windrad, Windrads, Windrades, Windräder, Windrädern	203	Windrad	64	-	-	-	-	-	-	-	Rotorenergie des Windrades, Leistungsklasse des Windrades
Wirkleistung	SWT (CP)		NN	Ncfs	Wirkleistung, Wirkleistungen	65	Wirkleistung	64	-	-	-	-	-	-	-	elektrische Wirkleistung, Wirkleistungsmessung, Möglichkeit der Wirkleistungsreduzierung, Minimierung d Wirkleistungsverluste
abgegeben Leistung	MWT		A NN		abgegebene Leistung, gegebene Leistungen, gegebener Leistung, gegebener Leistungen, gegebenen Leistung, gegebenen Leistungen	29	abgegebene Leistung	18	-	-	-	-	-	-	-	-
aufgewandt Energie	MWT		A NN		aufgewandte Energie, aufgewandte Energien, aufgewandter Energie, aufgewandter Energien, aufgewandten Energie, aufgewandten Energien	10	aufgewandten Energie	4	aufgewendet Energie	3	morphological	yes	aufgewendete Energie, aufgewendete Energien, aufgewendeter Energie, aufgewendeter Energien, aufgewendeten Energie, aufgewendeten Energien	aufgewendeter Energie	3	-
elastisch Stoß	MWT		A NN		elastischer Stoß, elastische Stoß, elastischen Stoßes, elastischem Stoß, elastischen Stoß, elastische Stöße, elastischer Stöße, elastischen Stößen, elastischen Stöße	17	elastischer Stoß	7	elastisch Stoss	4	graphical	yes	elastischer Stoss, elastische Stoss, elastisches Stosses, elastischen Stosses, elastischem Stoss, elastischen Stoss, elastische Stösse, elastischer Stösse, elastischen Stössen, elastischen Stösse	elastischen Stoss	3	-
elektrisch Ladung	MWT		A NN		elektrische Ladung, elektrische Ladungen, elektrischer Ladung, elektrisch Ladungen, elektrischen Ladung, elektrischen Ladungen	107	elektrische Ladung	46	-	-	-	-	-	-	-	elektrischer Ladungsträger, elektrische Ladungserhaltung
energetisch Amortisation	MWT		A NN		energetische Amortisation, energetischer Amortisation, energetischen Amortisation	6	energetische Amortisation	4	-	-	-	-	-	-	-	energetische Amortisationszeit
energetisch Wirkungsgrad	MWT		A NN		energetischer Wirkungsgrad, energetische Wirkungsgrad, energetischen Wirkungsgrads, energetischen Wirkungsgrades, energetischem Wirkungsgrad, energetischen Wirkungsgrad, energetische Wirkungsgrade, energetischer Wirkungsgrade, energetischen Wirkungsgraden, energetischen Wirkungsgrade	11	energetische Wirkungsgrad	5	-	-	-	-	-	-	-	-
erneuerbar Energie	MWT		A NN		erneuerbare Energie, erneuerbare Energien, erneuerbarer Energie, erneuerbarer Energien, erneuerbaren Energie, erneuerbaren Energien	2390	erneuerbaren Energien	887	-	-	-	-	-	-	-	-
groß Drehzahlstufe	MWT		A NN		große Drehzahlstufe, großer Drehzahlstufe, großer Drehzahlstufen, großen Drehzahlstufe, großen Drehzahlstufen	31	großen Drehzahlstufe	25	gross Drehzahlstufe	2	graphical	yes	grosse Drehzahlstufe, grosse Drehzahlstufen,  grosser Drehzahlstufe, grosser Drehzahlstufen, grossen Drehzahlstufe, grossen Drehzahlstufen	grossen Drehzahlstufe	2	-
harmonisch Schwingung	MWT		A NN		harmonische Schwingung, harmonisch Schwingungen, harmonischer Schwingung, harmonischer Schwingungen, harmonischen Schwingung, harmonischen Schwingungen	21	harmonischen Schwingungen	10	-	-	-	-	-	-	-	-
induziert Spannung	MWT		A NN		induzierte Spannung, induzierte Spannungen, induzierter Spannung, induzierter Spannungen, induzierten Spannung, induzierten Spannungen	16	induzierte Spannung	12	-	-	-	-	-	-	-	-
installiert Windkraftleistung	MWT		A NN		installierte Windleistung, installierter Windleistung, installierter Windkraftleistungen,  installierten Windkraftleistung, installierten Windkraftleistungen	19	installierter Windkraftleistung	9	-	-	-	-	-	-	-	-
konstant Drehzahl	MWT		A NN		konstante Drehzahl, konstanter Drehzahl, konstanter Drehzahlen, konstanten Drehzahl, konstanten Drehzahlen	15	konstanter Drehzahl	-	-	-	-	-	-	-	-	-
magnetische Feldstärke	MWT		A NN		magnetische Feldstärke, magnetische Feldstärken, magnetischer Feldstärke, magnetischer Feldstärken, magnetischen Feldstärke, magnetischen Feldstärken 	20	magnetische Feldstärke	8	-	-	-	-	-	-	-	-
nachhaltig Energieversorgung	MWT		A NN		nachhaltige Energieversorgung, nachhaltige Energieversorgungen, nachhaltiger Energieversorgung, nachhaltiger Energieversorgungen, nachhaltigen Energieversorgung, nachhaltigen Energieversorgungen	44	nachhaltige Energieversorgung, nachhaltigen Energieversorgung	22, 22	-	-	-	-	-	-	-	-
pulsierend Gleichstrom	MWT		A NN		pulsierender Gleichstrom, pulsierendes Gleichstroms, pulsierendes Gleichstromes, pulsierenden Gleichstroms, pulsierenden Gleichstromes, pulsierendem Gleichstrom, pulsierenden Gleichstrom	5	pulsierender Gleichstrom	3	-	-	-	-	-	-	-	-
polumschaltbar Asynchrongenerator	MWT		A NN		polumschaltbarer Asynchrongenerator, polumschaltbare Asynchrongenerator, polumschaltbare Asynchrongeneratoren, polumschaltbaren Asynchrongeneratoren,  polumschaltbaren Asynchrongenerator, polumschaltbarer Asynchrongeneratoren	14	polumschaltbaren Asynchrongenerators	8	polumschaltbar Einphasenasynchrongenerator	2	?	?	polumschaltbaren Einphasenasynchrongenerators	2		
potentiell Energie	MWT		A NN		potentielle Energie, potenzielle Energien, potentieller Energie, potentieller Energien, potentiellen Energie, potentiellen Energien	174	potentielle Energie	120	-	-	-	-	-	-	-	-
schwimmend Windkraftanlage	MWT		A NN		schwimmende Windkraftanlage, schwimmende Windkraftanlagen, schwimmender Windkraftanlage, schwimmender Windkraftanlagen, schwimmenden Windkraftanlage, schwimmenden Windkraftanlagen	19	schwimmende Windkraftanlagen	8	-	-	-	-	-	-	-	-
starr Körper	MWT		A NN		starrer Körper, starre Körper, starren Körpers, starrem Körper, starren Körper, starre Körper, starrer, starren Körpern	16	starren Körper	8	-	-	-	-	-	-	-	-
symmetrisch Bepfeilung	MWT		A NN		symmetrische Bepfeilung, symmetrische Bepfeilungen, symmetrischer Bepfeilung, symmetrischer Bepfeilungen, symmetrischen Bepfeilung, symmetrischen Bepfeilungen	5	symmetrische Bepfeilung	2	-	-	-	-	-	-	-	-
thermisch Wirkungsgrad	MWT		A NN		thermischer Wirkungsgrad, thermische Wirkungsgrad, thermischen Wirkungsgrads, thermischen Wirkungsgrades, thermischem Wirkungsgrad, thermischen Wirkungsgrad, thermische Wirkungsgrade, thermischer Wirkungsgrade, thermischen Wirkungsgraden, thermischen Wirkungsgrade	17	thermischen Wirkungsgrad	6	-	-	-	-	-	-	-	-
variabel Drehzahl	MWT		A NN		variable Drehzahl, variable Drehzahlen, variabler Drehzahl, variabler Drehzahlen, variablen Drehzahl, variablen Drehzahlen	12	variabler Drehzahl 	5	-	-	-	-	-	-	-	-
übertragen Leistung	MWT		A NN		übertragene Leistung, übertragene Leistungen, übertragener Leistung, übertragener Leistungen, übertragenen Leistung, übertragenen Leistungen	16	übertragene Leistung	8	übertragende Leistung	2	morphological	no	übertragende Leistung, übertragende Leistungen, übertragender Leistung, übertragender Leistungen, übertragenden Leistung, übertragenden Leistungen	übertragende Leistung, übertragender Leistung	1,1	-
zuverlässigkeitsorientiert Instandhaltung	MWT		A NN		zuverlässigkeitsorientierte Instandhaltung, zuverlässigkeitsorientierte Instandhaltungen, zuverlässigkeitsorientierter Instandhaltung, zuverlässigkeitsorientierter Instandhaltungen, zuverlässigkeitsorientierten Instandhaltung, zuverlässigkeitsorientierten Instandhaltungen	7	zuverlässigkeitsorientierte Instandhaltung,	6	-	-	-	-	-	-	-	-
Antrieb d Verdichter	MWT		NN D NN		Antrieb des Verdichters	5	Antrieb des Verdichters 	5	-	-	-	-	-	-	-	-
Beeinträchtigung d Landschaftsbild	MWT		NN D NN		Beeinträchtigung des Landschaftsbilds, Beeinträchtigungen des Landschaftsbilds,  Beeinträchtigung des Landschaftsbildes, Beeinträchtigungen des Landschaftsbildes	6	Beeinträchtigungen des Landschaftsbildes, Beeinträchtigung d Landschaft	5, 4	-	-	-	-	-	-	-	Beeinträchtigung von Urlaubslandschaften
